MEAN£¨ÈË¿ÚÃÜ¶È£©,rate
1139.16,0.0000415313 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
949.66,0.0000346226 
1047.05,0.0000381733 
1431.48,0.0000521887 
1512.61,0.0000551465 
1512.61,0.0000551465 
696.87,0.0000254064 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
356.26,0.0000129884 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
0.00,0.0000000000 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1040.16,0.0000379218 
1146.86,0.0000418122 
2387.16,0.0000870308 
1328.31,0.0000484273 
1204.37,0.0000439087 
1359.83,0.0000495766 
1165.55,0.0000424936 
746.21,0.0000272054 
1228.14,0.0000447753 
2138.64,0.0000779703 
1023.67,0.0000373210 
797.56,0.0000290775 
825.41,0.0000300928 
898.67,0.0000327635 
972.00,0.0000354371 
1020.94,0.0000372214 
871.62,0.0000317772 
1209.32,0.0000440891 
1233.01,0.0000449529 
1255.76,0.0000457823 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1257.96,0.0000458625 
1165.21,0.0000424810 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
877.95,0.0000320080 
